Focalspecies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adleri,formosus,grammicus,horridus,mucronatus,scitulus,siniferus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
taeniocnemis,serrifer,carinatus,internasalis,smaragdinus,teapensis,melanorhinus,variabilis,siniferus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
teapensis,taeniocnemis,serrifer,carinatus,siniferus,chrysostictus,melanorhinus,variabilis,internasalis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
torquatus,nelsoni,melanorhinus,cautus,serrifer,bulleri,couchii,dugesii,aeneus,heterolepis,gadoviae,spinosus,microlepidotus,olivaceus,cyanogenys,poinsettii,variabilis,palaciosi,ochoterenae,formosus,bicanthalis,insignis,minor,consobrinus,grammicus,scalaris,pyrocephalus,parvus,horridus,jarrovii,pictus,mucronatus,megalepidurus,,,,,,,,,,,,
tristichus,clarkii,cowlesi,magister,consobrinus,graciosus,poinsettii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
undulatus,consobrinus,woodi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vanderburgianus,magister,occidentalis,zosteromus,graciosus,orcutti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
variabilis,jalapae,teapensis,melanorhinus,smithi,cautus,serrifer,couchii,aeneus,gadoviae,torquatus,spinosus,microlepidotus,olivaceus,cyanogenys,poinsettii,palaciosi,ochoterenae,formosus,carinatus,bicanthalis,edwardtaylori,consobrinus,minor,grammicus,siniferus,smaragdinus,chrysostictus,taeniocnemis,scalaris,cryptus,squamosus,parvus,horridus,pictus,malachiticus,mucronatus,megalepidurus,internasalis,,,,,,
virgatus,clarkii,cowlesi,consobrinus,slevini,horridus,jarrovii,nelsoni,poinsettii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
woodi,undulatus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zosteromus,licki,magister,vanderburgianus,grandaevus,occidentalis,hunsakeri,orcutti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
